
Integration time [ms]:  32,000
Averaging Nr. [scans]: 5
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804343U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
322,364;   17,600;    6,800;    0,000
322,383;   17,400;    9,200;    0,000
322,402;   17,800;   11,200;    0,000
322,420;   11,400;    0,800;    0,000
322,439;   32,600;    5,400;    0,000
322,458;   -1,200;   49,000;    0,000
322,476;   47,400;   20,200;    0,000
322,495;   -8,200;   -3,800;    0,000
322,514;   56,400;   23,600;    0,000
322,532;   -1,600;   26,400;    0,000
322,551;   48,800;   31,200;    0,000
322,570;   56,200;   35,400;    0,000
322,588;   16,600;   29,200;    0,000
322,607;   27,200;   33,800;    0,000
322,626;    0,400;  -29,200;    0,000
322,644;    6,800;    4,600;    0,000
322,663;   -0,800;   52,600;    0,000
322,681;   24,000;  -26,200;    0,000
322,700;   59,400;   70,000;    0,000
322,719;    1,000;  -16,200;    0,000
322,737;   29,400;   13,800;    0,000
322,756;  -25,000;    1,400;    0,000
322,775;   51,000;   27,400;    0,000
322,793;   16,600;   17,400;    0,000
322,812;   30,000;   35,400;    0,000
322,831;   23,600;   51,400;    0,000
322,849;   24,600;   25,000;    0,000
322,868;   16,400;   47,600;    0,000
322,886;   31,800;   30,200;    0,000
322,905;    9,800;   49,400;    0,000
322,924;   35,000;   30,200;    0,000
322,942;  -10,000;   -6,000;    0,000
322,961;   25,600;   17,400;    0,000
322,979;   36,400;    5,600;    0,000
322,998;    9,600;   19,200;    0,000
323,017;   28,600;  -19,200;    0,000
323,035;   54,400;   15,400;    0,000
323,054;   28,400;   22,000;    0,000
323,072;   56,600;   46,400;    0,000
323,091;   19,000;   56,000;    0,000
323,110;   14,800;   49,400;    0,000
323,128;   37,600;   52,200;    0,000
323,147;   33,200;   52,400;    0,000
323,165;   32,200;   46,400;    0,000
323,184;   77,800;   88,800;    0,000
323,202;   50,600;   12,600;    0,000
323,221;   32,400;   21,200;    0,000
323,240;   24,400;   64,200;    0,000
323,258;   93,800;   85,600;    0,000
323,277;   -2,200;   49,200;    0,000
323,295;   50,400;   29,600;    0,000
323,314;   34,600;   26,200;    0,000
323,332;   14,800;   61,400;    0,000
323,351;   42,800;   54,000;    0,000
323,369;   73,200;   54,000;    0,000
323,388;   52,000;   56,800;    0,000
323,407;   44,600;   50,800;    0,000
323,425;   36,000;   39,600;    0,000
323,444;   69,000;   66,200;    0,000
323,462;   35,800;   10,600;    0,000
323,481;   39,800;   78,400;    0,000
323,499;   43,200;   51,200;    0,000
323,518;   63,800;   78,600;    0,000
323,536;   83,200;   42,800;    0,000
323,555;   92,000;   42,800;    0,000
323,573;   44,000;   55,600;    0,000
323,592;  102,000;   57,400;    0,000
323,610;   30,800;   45,600;    0,000
323,629;   92,400;   99,200;    0,000
323,647;   62,000;   50,800;    0,000
323,666;   78,600;   69,400;    0,000
323,684;   60,000;   56,200;    0,000
323,703;  105,000;   81,400;    0,000
323,721;   67,000;   69,600;    0,000
323,740;   94,800;  104,200;    0,000
323,758;   66,200;   87,000;    0,000
323,777;   78,000;   65,800;    0,000
323,795;   58,200;   59,200;    0,000
323,814;   98,000;  146,400;    0,000
323,832;   98,200;   80,600;    0,000
323,851;  126,400;  136,600;    0,000
323,869;   59,400;  110,400;    0,000
323,888;  127,600;  158,400;    0,000
323,906;   87,600;   63,600;    0,000
323,925;  117,000;  103,600;    0,000
323,943;   82,400;   90,600;    0,000
323,962;  124,200;  134,000;    0,000
323,980;   95,600;   71,600;    0,000
323,999;   93,400;   98,600;    0,000
324,017;  115,000;  141,400;    0,000
324,036;  142,600;  134,400;    0,000
324,054;  142,600;  118,400;    0,000
324,073;  154,400;  152,200;    0,000
324,091;  143,400;  125,600;    0,000
324,109;  128,800;  149,400;    0,000
324,128;  138,600;  152,400;    0,000
324,146;  178,600;  180,800;    0,000
324,165;  110,600;  134,200;    0,000
324,183;  152,800;  171,000;    0,000
324,202;  139,600;  179,600;    0,000
324,220;  170,800;  173,400;    0,000
324,239;  167,200;  194,600;    0,000
324,257;  250,800;  215,000;    0,000
324,275;  273,200;  295,400;    0,000
324,294;  292,400;  293,800;    0,000
324,312;  229,800;  233,600;    0,000
324,331;  184,600;  228,400;    0,000
324,349;  202,600;  200,800;    0,000
324,368;  214,000;  200,000;    0,000
324,386;  168,800;  218,200;    0,000
324,404;  287,200;  309,200;    0,000
324,423;  266,200;  236,400;    0,000
324,441;  260,400;  244,000;    0,000
324,460;  188,600;  251,200;    0,000
324,478;  243,200;  242,000;    0,000
324,496;  254,600;  279,000;    0,000
324,515;  249,200;  211,400;    0,000
324,533;  218,000;  265,200;    0,000
324,552;  336,200;  369,600;    0,000
324,570;  334,000;  295,000;    0,000
324,588;  379,200;  409,000;    0,000
324,607;  416,800;  443,800;    0,000
324,625;  438,000;  462,400;    0,000
324,644;  458,600;  477,000;    0,000
324,662;  424,200;  443,000;    0,000
324,680;  409,800;  420,600;    0,000
324,699;  454,200;  455,600;    0,000
324,717;  488,400;  526,400;    0,000
324,735;  596,800;  581,000;    0,000
324,754;  647,600;  679,600;    0,000
324,772;  807,600;  757,600;    0,000
324,791;  517,200;  548,000;    0,000
324,809;  496,800;  465,600;    0,000
324,827;  528,400;  554,600;    0,000
324,846;  542,600;  563,800;    0,000
324,864;  596,800;  622,200;    0,000
324,882;  644,400;  607,600;    0,000
324,901;  594,800;  609,600;    0,000
324,919;  788,000;  772,600;    0,000
324,937;  841,800;  885,000;    0,000
324,956;  961,400; 1008,200;    0,000
324,974;  789,800;  863,000;    0,000
324,992;  833,400;  885,800;    0,000
325,011;  976,000; 1003,200;    0,000
325,029;  925,800;  883,000;    0,000
325,047;  824,400;  843,000;    0,000
325,066;  807,200;  903,200;    0,000
325,084;  730,000;  712,800;    0,000
325,102;  576,200;  578,200;    0,000
325,121;  520,000;  574,800;    0,000
325,139;  598,000;  627,200;    0,000
325,157;  812,000;  759,400;    0,000
325,176; 1265,800; 1259,200;    0,000
325,194; 2289,400; 2372,000;    0,000
325,212; 4128,600; 4055,200;    0,000
325,231; 5635,800; 5632,000;    0,000
325,249; 4966,800; 4999,800;    0,000
325,267; 2826,200; 2790,800;    0,000
325,285; 1692,600; 1697,000;    0,000
325,304; 1056,800; 1071,200;    0,000
325,322;  797,800;  764,800;    0,000
325,340;  712,400;  722,000;    0,000
325,359;  812,000;  824,200;    0,000
325,377;  654,000;  685,800;    0,000
325,395;  592,600;  579,600;    0,000
325,413;  522,800;  505,200;    0,000
325,432;  465,800;  478,000;    0,000
325,450;  429,600;  410,200;    0,000
325,468;  439,000;  423,600;    0,000
325,487;  484,800;  489,600;    0,000
325,505;  460,800;  477,600;    0,000
325,523;  391,400;  420,200;    0,000
325,541;  403,400;  364,400;    0,000
325,560;  366,400;  354,200;    0,000
325,578;  404,800;  394,800;    0,000
325,596;  421,600;  465,400;    0,000
325,614;  415,600;  437,800;    0,000
325,633;  374,200;  397,800;    0,000
325,651;  421,600;  388,200;    0,000
325,669;  389,800;  417,000;    0,000
325,687;  477,400;  467,000;    0,000
325,706;  470,600;  477,200;    0,000
325,724;  443,800;  480,000;    0,000
325,742;  515,200;  512,400;    0,000
325,760;  598,200;  579,800;    0,000
325,779;  561,600;  581,200;    0,000
325,797;  642,400;  655,200;    0,000
325,815;  697,000;  742,000;    0,000
325,833;  747,600;  771,000;    0,000
325,852;  867,600;  874,000;    0,000
325,870; 1016,800;  989,200;    0,000
325,888; 1256,400; 1255,000;    0,000
325,906; 1577,800; 1609,000;    0,000
325,924; 1851,800; 1898,800;    0,000
325,943; 2761,600; 2792,000;    0,000
325,961; 4755,000; 4870,400;    0,000
325,979; 8092,800; 8238,600;    0,000
325,997;15824,000;15904,800;    0,000
326,015;40188,602;40561,602;    0,000
326,034;64565,602;64576,602;    0,000
326,052;64587,602;64586,398;    0,000
326,070;64565,602;64576,602;    0,000
326,088;64587,602;64586,398;    0,000
326,106;64565,602;64576,602;    0,000
326,125;64587,602;64586,398;    0,000
326,143;64565,602;64576,602;    0,000
326,161;64587,602;64586,398;    0,000
326,179;64565,602;64576,602;    0,000
326,197;64587,602;64586,398;    0,000
326,216;64565,602;64576,602;    0,000
326,234;64587,602;64586,398;    0,000
326,252;64565,602;64576,602;    0,000
326,270;64587,602;64586,398;    0,000
326,288;64565,602;64576,602;    0,000
326,306;64587,602;64586,398;    0,000
326,325;64565,602;64576,602;    0,000
