
Integration time [ms]:   5,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804344U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
341,349;29407,225;   59,854;    0,000
341,516;14258,438;   77,485;    0,000
341,682; 1684,255;   54,531;    0,000
341,849;  516,422;   33,900;    0,000
342,016;  246,949;   64,324;    0,000
342,182;  154,344;   14,977;    0,000
342,349;  115,251;   36,485;    0,000
342,516;  112,109;   16,077;    0,000
342,682;   80,200;   25,608;    0,000
342,849;   91,295;   68,677;    0,000
343,016;   68,652;   44,593;    0,000
343,182;   79,245;   28,969;    0,000
343,349;   58,739;   15,954;    0,000
343,515;   69,812;   43,947;    0,000
343,682;   74,078;   25,615;    0,000
343,849;   66,949;   26,923;    0,000
344,015;   43,374;   50,977;    0,000
344,182;   70,750;   50,808;    0,000
344,348;   27,543;   49,816;    0,000
344,515;   85,402;   29,769;    0,000
344,682;   59,679;   44,208;    0,000
344,848;   74,887;   11,085;    0,000
345,015;   53,182;   23,262;    0,000
345,181;  125,525;   43,454;    0,000
345,348;  120,535;   39,116;    0,000
345,514;  128,827;   25,031;    0,000
345,681;  138,275;   23,746;    0,000
345,847;  207,050;   31,200;    0,000
346,014;  245,491;   60,739;    0,000
346,180;  347,130;   30,385;    0,000
346,347;  450,890;   17,154;    0,000
346,513;  685,953;   48,069;    0,000
346,680; 1098,627;   42,732;    0,000
346,846; 1864,151;   19,884;    0,000
347,013; 3515,857;   65,724;    0,000
347,179; 9093,999;   34,215;    0,000
347,346;24138,959;   91,109;    0,000
347,512;48101,961;   75,862;    0,000
347,679;55413,164;  110,216;    0,000
347,845;32089,043;   60,208;    0,000
348,012; 5236,972;   48,201;    0,000
348,178; 1235,118;   39,162;    0,000
348,345;  669,812;   44,247;    0,000
348,511;  332,564;   56,824;    0,000
348,677;  267,007;   41,108;    0,000
348,844;  167,815;   46,893;    0,000
349,010;  168,619;   55,447;    0,000
349,177;  113,948;   41,339;    0,000
349,343;  114,359;   59,585;    0,000
349,510;   77,091;   39,039;    0,000
349,676;  112,974;   37,970;    0,000
349,842;   68,703;   66,162;    0,000
350,009;  108,818;   42,662;    0,000
350,175;   63,856;   51,223;    0,000
350,341;   78,578;   57,424;    0,000
350,508;  117,921;   43,316;    0,000
350,674;  189,138;   72,178;    0,000
350,840;  272,597;   32,347;    0,000
351,007;  394,722;   75,408;    0,000
351,173;  154,344;   26,985;    0,000
351,340;   80,181;   58,986;    0,000
351,506;   61,959;   33,485;    0,000
351,672;   69,476;   59,263;    0,000
351,838;   53,441;   65,731;    0,000
352,005;   84,698;   56,439;    0,000
352,171;   57,852;   22,377;    0,000
352,337;   53,341;   67,839;    0,000
352,504;   64,977;   64,831;    0,000
352,670;   50,660;   45,978;    0,000
352,836;   54,756;   47,631;    0,000
353,003;   54,220;   58,832;    0,000
353,169;   50,684;   62,239;    0,000
353,335;   56,277;   29,139;    0,000
353,501;   31,062;   40,347;    0,000
353,668;   56,149;   63,731;    0,000
353,834;   43,238;   57,869;    0,000
354,000;   39,416;   68,693;    0,000
354,166;   35,904;   34,454;    0,000
354,332;   51,214;   76,524;    0,000
354,499;   65,389;   32,754;    0,000
354,665;   46,235;   84,832;    0,000
354,831;   70,537;   30,393;    0,000
354,997;   48,435;   45,116;    0,000
355,164;   69,461;   62,154;    0,000
355,330;   64,676;   82,463;    0,000
355,496;   37,883;   38,054;    0,000
355,662;   43,451;   67,801;    0,000
355,828;   50,374;   60,577;    0,000
355,994;   47,590;   81,462;    0,000
356,161;   43,988;   14,069;    0,000
356,327;   13,482;   80,170;    0,000
356,493;   29,009;   48,285;    0,000
356,659;   42,421;   37,108;    0,000
356,825;   58,297;   37,846;    0,000
356,991;   65,569;   42,047;    0,000
357,157;   49,796;   55,762;    0,000
357,324;   49,660;   83,386;    0,000
357,490;   53,860;   63,378;    0,000
357,656;   53,107;   50,008;    0,000
357,822;   42,778;   34,215;    0,000
357,988;   57,532;   45,070;    0,000
358,154;   51,035;   36,416;    0,000
358,320;   26,592;   59,316;    0,000
358,486;   37,872;   26,392;    0,000
358,652;   42,592;   25,916;    0,000
358,818;   54,667;   47,770;    0,000
358,984;   40,575;   52,962;    0,000
359,150;   57,906;   32,323;    0,000
359,317;   65,724;   54,570;    0,000
359,483;   74,312;   23,731;    0,000
359,649;   72,097;   50,347;    0,000
359,815;   82,514;   18,408;    0,000
359,981;  113,640;   71,362;    0,000
360,147;  134,203;   17,254;    0,000
360,313;  189,767;   55,778;    0,000
360,479;  194,677;   41,831;    0,000
360,645;  266,641;   65,039;    0,000
360,811;  366,267;   25,962;    0,000
360,977;  599,351;   40,693;    0,000
361,143;  990,942;   22,623;    0,000
361,309; 1736,019;   53,739;    0,000
361,475; 3922,406;   23,015;    0,000
361,641;12716,597;   43,154;    0,000
361,807;32488,326;   58,854;    0,000
361,972;55400,688;   64,900;    0,000
362,138;54425,074;   39,862;    0,000
362,304;42483,582;   85,778;    0,000
362,470;12550,461;   66,254;    0,000
362,636; 2522,499;   68,031;    0,000
362,802;  933,478;   55,916;    0,000
362,968;  542,493;   44,308;    0,000
363,134;  341,256;   27,123;    0,000
363,300;  252,269;   57,547;    0,000
363,466;  236,442;   65,131;    0,000
363,632;  187,262;   32,339;    0,000
363,798;  179,035;   38,123;    0,000
363,963;  155,841;   36,339;    0,000
364,129;  120,112;   27,639;    0,000
364,295;  107,847;   44,862;    0,000
364,461;  116,724;   66,278;    0,000
364,627;  109,332;   65,062;    0,000
364,793;   99,468;   16,246;    0,000
364,959;   83,453;   43,378;    0,000
365,124;   89,019;   35,447;    0,000
365,290;   80,946;   55,270;    0,000
365,456;   76,032;   60,562;    0,000
