
Integration time [ms]:   1,150
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804343U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
322,495;  -30,000;   25,000;    0,000
322,514;   30,000;  -21,000;    0,000
322,532;  -27,000;   30,000;    0,000
322,551;  -71,000;  -40,000;    0,000
322,570;  -28,000;   -2,000;    0,000
322,588;  -30,000;  -25,000;    0,000
322,607;  -39,000;    7,000;    0,000
322,626;  -62,000;  -21,000;    0,000
322,644;   51,000;   -1,000;    0,000
322,663;  -33,000;  -41,000;    0,000
322,681;  -29,000;   65,000;    0,000
322,700;   24,000;  -56,000;    0,000
322,719;   27,000;   67,000;    0,000
322,737;  -11,000;   50,000;    0,000
322,756;   32,000;  -13,000;    0,000
322,775;  -43,000;   15,000;    0,000
322,793;   98,000;   17,000;    0,000
322,812;  -43,000;   10,000;    0,000
322,831;  -17,000;   16,000;    0,000
322,849;   29,000;   42,000;    0,000
322,868;  -27,000;   99,000;    0,000
322,886;   58,000;   61,000;    0,000
322,905;   17,000;   72,000;    0,000
322,924;  -27,000;   -6,000;    0,000
322,942;   11,000;   32,000;    0,000
322,961;   84,000;   80,000;    0,000
322,979;  -65,000;   30,000;    0,000
322,998;  -28,000;  -36,000;    0,000
323,017;    9,000;   84,000;    0,000
323,035;   33,000;   44,000;    0,000
323,054;  -64,000;   75,000;    0,000
323,072;   -3,000;   -7,000;    0,000
323,091;   52,000;   45,000;    0,000
323,110;    0,000;   26,000;    0,000
323,128;  -11,000;   23,000;    0,000
323,147;   29,000;   26,000;    0,000
323,165;  -79,000;   48,000;    0,000
323,184;  -23,000;    5,000;    0,000
323,202;  -42,000;   16,000;    0,000
323,221;  -50,000;    8,000;    0,000
323,240;  -21,000;   -8,000;    0,000
323,258;   56,000;  -10,000;    0,000
323,277;   21,000;  -10,000;    0,000
323,295;   18,000;   40,000;    0,000
323,314;   49,000;   37,000;    0,000
323,332;   -5,000;  -52,000;    0,000
323,351;   24,000;   26,000;    0,000
323,369;  -34,000;  -31,000;    0,000
323,388;   35,000;   23,000;    0,000
323,407;   36,000;  -75,000;    0,000
323,425;   36,000;   43,000;    0,000
323,444;  -11,000;   23,000;    0,000
323,462;   73,000;   68,000;    0,000
323,481;  -17,000;   32,000;    0,000
323,499;    8,000;   14,000;    0,000
323,518;  -57,000;    4,000;    0,000
323,536;    1,000;   53,000;    0,000
323,555;  -26,000;   54,000;    0,000
323,573;  -24,000;  -11,000;    0,000
323,592;  -17,000;   31,000;    0,000
323,610;    6,000;  -59,000;    0,000
323,629;  -60,000;   77,000;    0,000
323,647;   43,000;   66,000;    0,000
323,666;  -87,000;   55,000;    0,000
323,684;   -2,000;    9,000;    0,000
323,703;   70,000;  -39,000;    0,000
323,721;    4,000;   60,000;    0,000
323,740;   45,000;  -21,000;    0,000
323,758;   -1,000;   73,000;    0,000
323,777;   56,000;   61,000;    0,000
323,795;  -31,000;   32,000;    0,000
323,814;  -33,000;   30,000;    0,000
323,832;    7,000;   61,000;    0,000
323,851;   25,000;  -51,000;    0,000
323,869;   40,000;   38,000;    0,000
323,888;  -76,000;   46,000;    0,000
323,906;   12,000;   38,000;    0,000
323,925;   -3,000;  -91,000;    0,000
323,943;  -21,000;   22,000;    0,000
323,962;   13,000;   65,000;    0,000
323,980;    6,000;   58,000;    0,000
323,999;  -83,000;  -21,000;    0,000
324,017;  -31,000;   44,000;    0,000
324,036;   -5,000;    5,000;    0,000
324,054;  -43,000;  -34,000;    0,000
324,073;   -8,000;  -29,000;    0,000
324,091;   39,000;   39,000;    0,000
324,109;   34,000;    6,000;    0,000
324,128;   44,000;    4,000;    0,000
324,146;  -76,000;   -1,000;    0,000
324,165;   32,000;  -25,000;    0,000
324,183;  -33,000;  -92,000;    0,000
324,202;   25,000;   60,000;    0,000
324,220;  -57,000;  -26,000;    0,000
324,239;    6,000;    7,000;    0,000
324,257;   -9,000;  -40,000;    0,000
324,275;   38,000;  -37,000;    0,000
324,294;  -56,000;  -82,000;    0,000
324,312;  -64,000;  -44,000;    0,000
324,331;  -34,000;   34,000;    0,000
324,349;   46,000;   67,000;    0,000
324,368;    6,000;  -26,000;    0,000
324,386;  -22,000;   -4,000;    0,000
324,404;   41,000;  -16,000;    0,000
324,423;   25,000;  118,000;    0,000
324,441;  -22,000;  -26,000;    0,000
324,460;  -19,000;   86,000;    0,000
324,478;  -26,000;   42,000;    0,000
324,496;    5,000;   21,000;    0,000
324,515;   -4,000;   13,000;    0,000
324,533;    5,000;  116,000;    0,000
324,552;   -8,000;   49,000;    0,000
324,570;   19,000;   86,000;    0,000
324,588;   72,000;    1,000;    0,000
324,607;  -24,000;  -44,000;    0,000
324,625;   -4,000;  -56,000;    0,000
324,644;  -48,000;   84,000;    0,000
324,662;   53,000;  -47,000;    0,000
324,680;   32,000;   26,000;    0,000
324,699;  -27,000;   24,000;    0,000
324,717;   -6,000;    7,000;    0,000
324,735;   -9,000;   48,000;    0,000
324,754;   11,000;   34,000;    0,000
324,772;    1,000;   87,000;    0,000
324,791;   33,000;   45,000;    0,000
324,809;   12,000;   74,000;    0,000
324,827;    2,000;  103,000;    0,000
324,846;  -57,000;    7,000;    0,000
324,864;   -3,000;    1,000;    0,000
324,882;   44,000;    9,000;    0,000
324,901;    2,000;   24,000;    0,000
324,919;  -34,000;   50,000;    0,000
